Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
expose,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.9947928638771414,-6.926910401492042,8,3473,75,465,4021
expose,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.9947928638771414,-8.096899597272184,16,2938,85,389,3428
expose,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.9947928638771414,-1.0,0,3025,0,403,3428
expose,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9947928638771414,0.018516348017524997,8,3530,17,466,4021
expose,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.9947928638771414,-2.0,0,3026,0,402,3428
expose,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.9947928638771414,0.03899968845370139,2,3459,4,463,3928
expose,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.9947928638771414,-2.0,0,931,0,126,1057
expose,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.9947928638771414,-0.14198431716872828,2,3026,0,400,3428
expose,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.9947928638771414,1.4995664849068695,3,3024,2,399,3428
expose,standard,realKnownCause/ambient_temperature_system_failure.csv,0.9947928638771414,-2.0,0,5791,0,726,6517
expose,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.9947928638771414,-1.9955132590935116,2,15774,27,1497,17300
expose,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.9947928638771414,0.7264420743313258,5,3080,2,341,3428
expose,standard,realKnownCause/machine_temperature_system_failure.csv,0.9947928638771414,-3.107314814142598,3,19658,19,2265,21945
expose,standard,realKnownCause/nyc_taxi.csv,0.9947928638771414,-5.0,0,8535,0,1035,9570
expose,standard,realKnownCause/rogue_agent_key_hold.csv,0.9947928638771414,-2.0,0,1410,0,190,1600
expose,standard,realKnownCause/rogue_agent_key_updown.csv,0.9947928638771414,-0.48368768156010733,2,4021,14,528,4565
expose,standard,realTraffic/occupancy_6005.csv,0.9947928638771414,-1.11,0,1783,1,239,2023
expose,standard,realTraffic/occupancy_t4013.csv,0.9947928638771414,1.3792605576544466,2,1872,3,248,2125
expose,standard,realTraffic/speed_6005.csv,0.9947928638771414,-1.0,0,1886,0,239,2125
expose,standard,realTraffic/speed_7578.csv,0.9947928638771414,-0.4040042106361186,2,840,2,114,958
expose,standard,realTraffic/speed_t4013.csv,0.9947928638771414,1.228860004072716,4,1864,7,246,2121
expose,standard,realTraffic/TravelTime_387.csv,0.9947928638771414,-3.0,0,1876,0,249,2125
expose,standard,realTraffic/TravelTime_451.csv,0.9947928638771414,-1.0,0,1621,0,217,1838
expose,standard,realTweets/Twitter_volume_AAPL.csv,0.9947928638771414,-4.0,0,13564,0,1588,15152
expose,standard,realTweets/Twitter_volume_AMZN.csv,0.9947928638771414,-4.0,0,13501,0,1580,15081
expose,standard,realTweets/Twitter_volume_CRM.csv,0.9947928638771414,-1.5849152733670926,3,13537,22,1590,15152
expose,standard,realTweets/Twitter_volume_CVS.csv,0.9947928638771414,0.3095610212036122,3,13572,5,1523,15103
expose,standard,realTweets/Twitter_volume_FB.csv,0.9947928638771414,-0.5833809947081758,2,13497,4,1580,15083
expose,standard,realTweets/Twitter_volume_GOOG.csv,0.9947928638771414,-1.0810921719166646,2,13652,8,1430,15092
